,Id_Customer,Y,Customer_Type,BirthDate,Customer_Open_Date,P_Client,Educational_Level,Marital_Status,Number_Of_Dependant,Years_At_Residence,Net_Annual_Income,Years_At_Business,Prod_Sub_Category,Prod_Decision_Date,Source,Type_Of_Residence,Nb_Of_Products,Prod_Closed_Date,Prod_Category
4,3016,1,Existing Client,1982-08-07,2011-08-25,NP_Client,University,Married,3.0,3,36.0,1.0,C,2011-07-09,Sales,New rent,1,2012-12-31,L
5,6092,1,Existing Client,1988-10-29,2010-07-11,P_Client,University,Single,0.0,1,59.916000000000004,1.0,C,2012-04-01,Branch,Owned,1,2012-06-28,H
9,9338,0,Non Existing Client,1953-04-10,2012-11-04,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-12-04,Sales,Owned,1,2013-04-16,B
10,6945,0,Existing Client,1968-03-04,2006-06-20,P_Client,University,Married,0.0,10,40.0,10.0,G,2012-02-23,Branch,Owned,1,2013-02-24,B
12,173,1,Existing Client,1963-02-13,2011-04-27,NP_Client,University,Married,4.0,35,87.6,2.0,C,2011-03-05,Sales,Owned,1,2012-11-18,L
23,6582,1,Non Existing Client,1982-01-07,2012-12-01,NP_Client,University,Married,2.0,1,36.0,1.0,C,2012-01-15,Sales,Owned,1,2012-09-30,B
28,9350,0,Non Existing Client,1985-01-01,2012-03-27,NP_Client,University,Single,0.0,27,26.4,6.0,C,2012-11-04,Branch,Owned,1,2013-02-06,K
40,8089,1,Existing Client,1987-01-11,2012-02-21,NP_Client,University,Married,1.0,26,61.2,2.0,C,2012-03-15,Sales,Owned,1,2012-10-31,L
47,2821,0,Existing Client,1980-10-10,2009-02-22,NP_Client,University,Married,0.0,1,36.0,1.0,C,2011-09-15,Branch,Owned,1,2012-07-29,B
50,4332,1,Non Existing Client,1979-10-06,2011-10-16,NP_Client,University,Married,2.0,2,18.0,2.0,G,2011-10-23,Sales,Owned,1,2012-09-30,C
51,3253,0,Non Existing Client,1948-02-06,2011-09-14,NP_Client,University,Married,3.0,38,20.0,1.0,C,2011-09-15,Sales,Old rent,2,2013-01-20,D
58,8979,0,Existing Client,1956-04-11,2011-07-20,NP_Client,University,Married,3.0,10,120.0,20.0,G,2012-08-04,Branch,Owned,2,2013-03-14,C
59,3853,1,Existing Client,1975-06-22,2011-09-13,NP_Client,University,Married,2.0,1,42.0,1.0,C,2011-10-16,Sales,Owned,1,2012-06-28,L
65,592,0,Existing Client,1981-01-01,2009-03-30,NP_Client,University,Single,0.0,1,18.0,1.0,C,2011-05-24,Sales,Owned,1,2012-05-09,B
70,4206,0,Non Existing Client,1964-06-08,2011-10-16,NP_Client,University,Married,0.0,1,36.0,1.0,C,2011-10-17,Branch,Owned,1,2012-03-06,B
76,660,0,Existing Client,1967-11-06,2010-09-12,NP_Client,University,Widowed,0.0,1,20.0,1.0,C,2011-06-15,Sales,Owned,1,2013-03-24,B
80,5919,0,Existing Client,1962-10-23,2003-09-06,NP_Client,University,Married,2.0,2,25.0,1.0,C,2011-11-12,Sales,Owned,1,2012-08-29,B
83,1380,1,Existing Client,1977-07-23,2011-04-07,NP_Client,University,Married,0.0,1,84.0,4.0,C,2011-07-20,Branch,Parents,1,2012-07-31,L
106,5192,0,Existing Client,1967-06-02,2009-03-31,NP_Client,University,Married,3.0,16,50.0,5.0,C,2011-12-22,Sales,Owned,2,2013-11-03,B
110,1163,0,Existing Client,1951-10-11,2005-01-07,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-06-20,Branch,Owned,2,2012-03-18,B
112,7400,1,Non Existing Client,1990-01-14,2012-09-02,NP_Client,University,Single,0.0,1,25.0,1.0,C,2012-12-02,Sales,Owned,1,2013-03-31,B
116,6569,1,Non Existing Client,1972-03-22,2012-09-01,NP_Client,University,Married,4.0,6,80.0,2.0,C,2012-12-01,Sales,Owned,1,2012-11-29,B
118,9130,0,Non Existing Client,1964-05-11,2012-03-29,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-01-04,Sales,Owned,1,2012-12-27,B
120,1842,0,Existing Client,1952-09-02,2005-09-06,P_Client,University,Married,0.0,15,30.0,1.0,C,2011-08-23,Sales,Owned,2,2012-11-22,B
122,3338,1,Non Existing Client,1973-08-13,2011-09-19,NP_Client,University,Married,0.0,10,50.0,10.0,C,2011-09-22,Sales,Owned,1,2012-05-31,B
124,491,1,Existing Client,1957-03-10,1992-08-04,NP_Client,University,Married,2.0,15,100.0,16.0,C,2011-05-24,Branch,Owned,1,2011-12-29,C
127,7206,1,Existing Client,1985-10-23,2012-01-31,NP_Client,University,Married,2.0,5,51.0,3.0,C,2012-02-26,Sales,Owned,1,2012-10-31,L
131,743,0,Existing Client,1977-03-02,2011-05-31,NP_Client,University,Single,0.0,34,54.0,4.0,C,2011-05-06,Branch,Old rent,1,2013-02-28,L
140,5412,1,Non Existing Client,1988-08-17,2011-11-29,NP_Client,University,Married,0.0,10,36.0,10.0,C,2011-11-30,Sales,Owned,1,2013-02-28,B
142,7417,1,Non Existing Client,1984-05-07,2012-12-02,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-02-13,Sales,Owned,1,2012-11-29,B
148,104,0,Existing Client,1978-09-12,2009-11-25,NP_Client,University,Married,2.0,1,18.0,1.0,C,2011-04-05,Branch,Owned,2,2012-03-25,B
150,4842,0,Non Existing Client,1975-11-27,2011-02-11,NP_Client,University,Married,0.0,15,30.0,1.0,C,2011-11-15,Branch,Owned,1,2012-03-06,B
162,2039,0,Existing Client,1981-07-26,2010-08-24,NP_Client,Master/PhD,Married,1.0,4,20.0,1.0,C,2011-08-14,Sales,Owned,1,2013-08-05,C
166,1432,0,Non Existing Client,1979-02-22,2011-03-07,NP_Client,University,Married,0.0,4,46.0,5.0,C,2011-06-07,Sales,New rent,1,2012-08-29,K
177,3403,0,Non Existing Client,1962-06-02,2011-09-20,NP_Client,University,Married,0.0,21,18.0,20.0,C,2011-09-21,Branch,Owned,1,2012-03-05,B
179,3629,1,Existing Client,1985-06-13,2007-10-09,P_Client,University,Single,0.0,20,50.0,10.0,C,2011-11-10,Sales,Owned,1,2012-09-30,D
185,2077,0,Existing Client,1984-03-16,2010-12-20,NP_Client,University,Single,0.0,10,36.0,1.0,G,2011-01-08,Sales,Owned,2,2013-02-24,C
192,6558,0,Non Existing Client,1961-05-20,2012-09-01,NP_Client,University,Married,0.0,20,25.0,1.0,C,2012-11-01,Sales,Owned,1,2013-02-25,B
194,704,1,Existing Client,1983-01-03,2011-05-18,NP_Client,University,Married,0.0,1,36.0,2.0,C,2011-06-26,Sales,Old rent,2,2012-08-30,L
201,4584,0,Existing Client,1975-12-07,2009-07-21,NP_Client,University,Married,2.0,7,20.0,1.0,C,2011-11-15,Sales,Owned,1,2012-07-26,B
206,5573,0,Non Existing Client,1974-07-11,2011-04-12,NP_Client,University,Married,1.0,10,36.0,1.0,C,2011-06-12,Sales,Owned,1,2013-03-19,D
208,9234,1,Non Existing Client,1979-07-22,2012-04-04,NP_Client,University,Married,2.0,1,36.0,1.0,C,2012-05-04,Sales,Owned,1,2012-11-29,B
213,7049,0,Existing Client,1971-08-19,2010-02-16,NP_Client,University,Single,1.0,30,18.0,2.0,C,2012-02-21,Branch,Parents,1,2013-09-01,B
214,1901,0,Existing Client,1966-10-04,2007-10-12,NP_Client,University,Married,0.0,2,18.0,2.0,C,2011-08-21,Branch,Owned,2,2012-08-04,B
215,2142,0,Existing Client,1983-04-19,2011-12-06,NP_Client,University,Single,0.0,15,30.0,1.0,G,2011-08-14,Sales,Owned,1,2013-04-14,C
219,6285,1,Non Existing Client,1971-06-19,2011-12-19,NP_Client,University,Married,3.0,10,36.0,3.0,C,2012-03-01,Sales,Owned,1,2012-11-29,B
224,6424,0,Non Existing Client,1981-05-27,2012-03-01,NP_Client,University,Divorced,0.0,10,36.0,3.0,C,2012-05-01,Sales,Owned,2,2012-12-12,B
228,3231,0,Non Existing Client,1964-08-10,2011-09-13,NP_Client,University,Married,3.0,24,18.0,1.0,C,2011-09-14,Sales,Owned,1,2013-05-23,D
229,9169,0,Non Existing Client,1983-09-09,2012-01-04,NP_Client,University,Married,2.0,7,118.787,0.0,G,2012-05-04,Branch,Owned,3,2013-03-02,B
254,2205,1,Existing Client,1987-10-07,2011-07-26,NP_Client,University,Married,0.0,15,42.0,1.0,C,2011-08-16,Sales,Owned,1,2012-05-31,L
257,2927,0,Existing Client,1989-09-29,2010-08-11,NP_Client,University,Single,0.0,20,24.0,0.0,C,2011-09-21,Branch,Owned,1,2013-09-01,J
258,6037,0,Existing Client,1964-04-09,2009-05-14,NP_Client,University,Married,0.0,10,36.0,1.0,C,2012-01-19,Sales,Owned,2,2013-04-03,B
260,574,0,Existing Client,1965-05-24,2009-10-02,P_Client,University,Married,0.0,1,36.0,4.0,C,2011-06-20,Sales,Owned,1,2013-06-02,G
267,6045,0,Existing Client,1979-03-20,2009-08-07,NP_Client,University,Married,0.0,10,36.0,3.0,C,2012-05-01,Sales,Owned,2,2013-04-02,B
271,7043,0,Existing Client,1978-04-22,2009-11-24,NP_Client,Master/PhD,Married,2.0,4,150.0,8.0,G,2012-02-15,Branch,Parents,3,2013-03-13,C
272,2609,0,Non Existing Client,1981-07-04,2011-08-17,NP_Client,University,Single,0.0,15,30.0,1.0,C,2011-08-22,Branch,Owned,2,2012-06-24,B
274,9297,0,Non Existing Client,1956-08-05,2012-05-04,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-11-04,Sales,Owned,1,2013-05-15,B
275,2643,1,Non Existing Client,1950-05-29,2011-08-15,NP_Client,University,Divorced,3.0,5,36.0,5.0,C,2011-08-24,Sales,Owned,1,2012-12-31,D
278,6719,0,Non Existing Client,1975-12-21,2012-01-18,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-01-19,Sales,Owned,1,2013-05-30,B
280,7171,1,Existing Client,1988-08-02,2012-01-19,NP_Client,University,Single,0.0,20,45.6,2.0,C,2012-02-15,Sales,Owned,1,2013-04-14,L
281,4828,0,Non Existing Client,1986-01-01,2011-01-11,NP_Client,University,Single,0.0,15,56.4,3.0,G,2011-02-11,Branch,Owned,2,2012-08-23,B
283,8687,0,Non Existing Client,1963-10-29,2012-03-25,NP_Client,University,Married,2.0,1,36.0,1.0,C,2012-03-28,Sales,Owned,2,2012-11-12,B
288,2792,0,Existing Client,1981-04-09,2007-12-31,P_Client,University,Single,0.0,30,32.308,3.0,C,2011-09-27,Branch,Parents,1,2013-04-03,G
294,1596,1,Non Existing Client,1978-09-28,2011-07-17,NP_Client,University,Married,2.0,7,36.0,3.0,C,2011-07-31,Branch,Owned,1,2011-11-30,B
298,8059,0,Existing Client,1974-09-06,2012-08-02,NP_Client,University,Married,1.0,20,49.92,5.0,C,2012-03-13,Sales,Owned,1,2013-05-30,L
299,5947,0,Non Existing Client,1982-01-01,2011-12-26,NP_Client,University,Married,0.0,15,30.0,1.0,C,2012-04-01,Sales,Owned,1,2013-05-20,D
310,6149,0,Existing Client,1961-07-23,2011-10-30,NP_Client,University,Married,0.0,10,36.0,3.0,C,2012-01-16,Sales,Owned,1,2013-05-13,B
323,3014,1,Existing Client,1969-08-19,2011-08-25,NP_Client,University,Married,0.0,1,36.0,1.0,C,2011-11-09,Sales,New rent,1,2012-07-31,L
324,6437,1,Non Existing Client,1987-10-22,2012-03-01,NP_Client,University,Single,0.0,10,36.0,3.0,C,2012-05-01,Sales,Owned,1,2013-03-31,D
326,6493,1,Non Existing Client,1957-04-27,2012-09-01,NP_Client,University,Married,0.0,1,25.0,1.0,C,2012-10-01,Sales,Owned,1,2012-11-29,D
327,8007,0,Existing Client,1980-08-04,2011-04-28,NP_Client,University,Married,0.0,15,36.0,1.0,C,2012-03-15,Sales,Owned,1,2012-08-26,B
328,8515,0,Non Existing Client,1987-05-05,2012-03-15,NP_Client,University,Single,0.0,15,36.0,1.0,C,2012-03-18,Sales,Owned,1,2013-04-21,B
333,8908,0,Existing Client,1967-09-30,2009-05-25,NP_Client,University,Married,5.0,10,36.0,3.0,C,2012-03-04,Sales,Owned,1,2013-08-04,B
334,458,0,Non Existing Client,1956-04-05,2011-05-25,NP_Client,University,Married,4.0,15,18.0,2.0,C,2011-05-30,Branch,Owned,2,2012-06-25,B
336,9413,0,Non Existing Client,1956-10-22,2012-08-04,NP_Client,University,Married,0.0,10,36.0,10.0,C,2012-04-23,Sales,Owned,1,2013-04-01,B
358,2901,1,Existing Client,1959-05-29,2010-02-08,NP_Client,University,Widowed,0.0,20,36.0,1.0,C,2011-09-13,Sales,Owned,1,2012-09-18,B
359,5578,1,Existing Client,1990-11-01,2011-08-12,NP_Client,University,Single,0.0,2,36.0,2.0,C,2011-12-18,Sales,Owned,1,2012-11-29,L
360,334,1,Non Existing Client,1969-03-17,2011-05-15,NP_Client,University,Married,4.0,13,18.0,1.0,C,2011-05-16,Sales,Owned,1,2012-02-08,B
362,6467,1,Non Existing Client,1982-01-24,2012-02-01,NP_Client,University,Single,0.0,10,36.0,3.0,C,2012-12-01,Sales,Owned,1,2012-11-29,C
364,1607,1,Non Existing Client,1962-04-08,2011-07-19,NP_Client,University,Married,2.0,4,20.0,1.0,C,2011-07-20,Branch,Owned,1,2012-03-18,B
365,2294,1,Existing Client,1978-11-19,2011-03-08,NP_Client,University,Married,0.0,15,66.0,1.0,C,2011-08-14,Sales,Owned,1,2012-11-29,L
374,8832,0,Existing Client,1964-10-30,2005-10-13,P_Client,University,Married,0.0,6,33.312,18.0,C,2012-12-04,Branch,Old rent,1,2013-03-14,H
381,9077,1,Non Existing Client,1984-06-29,2012-03-27,NP_Client,University,Married,0.0,2,18.0,2.0,C,2012-03-28,Sales,Owned,1,2012-11-29,B
385,1045,0,Non Existing Client,1985-01-03,2011-06-21,NP_Client,University,Married,2.0,15,30.0,1.0,C,2011-06-22,Sales,Owned,1,2012-09-19,B
399,307,0,Non Existing Client,1960-06-08,2011-12-05,NP_Client,Master/PhD,Married,3.0,15,18.0,1.0,C,2011-05-15,Sales,Owned,2,2012-11-24,B
401,9515,0,Non Existing Client,1985-04-20,2012-04-24,NP_Client,University,Married,1.0,2,20.0,4.0,C,2012-04-24,Branch,Owned,2,2013-11-02,B
414,8882,1,Existing Client,1960-12-15,2008-04-11,NP_Client,University,Married,2.0,2,300.0,6.0,P,2012-04-22,Branch,Owned,1,2013-05-30,E
423,2970,0,Existing Client,1956-11-14,2011-05-19,NP_Client,Master/PhD,Married,2.0,1,36.0,1.0,G,2011-09-13,Sales,Owned,2,2012-12-16,C
431,9448,0,Non Existing Client,1985-12-15,2012-04-19,NP_Client,University,Married,0.0,10,36.0,10.0,C,2012-04-22,Sales,Owned,1,2013-01-04,B
434,854,0,Non Existing Client,1968-01-10,2011-08-06,NP_Client,University,Married,1.0,37,18.0,14.0,C,2011-06-13,Sales,Owned,1,2013-05-30,B
436,1705,0,Non Existing Client,1956-09-07,2011-07-25,NP_Client,University,Married,0.0,30,18.0,1.0,C,2011-07-25,Branch,Owned,2,2012-04-24,B
443,2751,0,Existing Client,1984-01-02,2006-06-28,P_Client,University,Married,0.0,10,50.0,10.0,C,2011-09-25,Branch,Owned,2,2012-05-27,B
447,2475,0,Non Existing Client,1988-03-27,2011-11-08,NP_Client,University,Married,0.0,10,36.0,3.0,C,2011-08-14,Sales,Owned,1,2012-09-01,B
448,2687,0,Existing Client,1960-11-27,2000-03-30,NP_Client,University,Married,2.0,15,30.0,1.0,C,2011-02-08,Sales,Owned,1,2013-02-26,B
449,134,0,Existing Client,1955-03-11,2010-09-28,NP_Client,Master/PhD,Married,0.0,20,18.0,20.0,C,2011-05-29,Sales,Owned,1,2013-04-04,B
458,5760,0,Non Existing Client,1979-09-28,2011-12-14,NP_Client,University,Married,1.0,10,36.0,1.0,C,2011-12-15,Sales,Owned,2,2012-10-17,B
460,40,1,Existing Client,1964-01-13,2007-06-17,NP_Client,University,Married,3.0,12,18.0,2.0,C,2011-05-05,Sales,Owned,1,2012-01-31,B
466,6020,0,Existing Client,1969-01-02,2009-02-23,P_Client,University,Married,2.0,8,192.0,2.0,C,2012-03-01,Sales,Owned,1,2013-05-21,D
468,8354,0,Non Existing Client,1970-12-02,2012-08-03,NP_Client,University,Married,2.0,1,500.0,98.0,C,2012-03-13,Sales,Owned,1,2013-05-30,B
479,9018,0,Existing Client,1960-07-12,2012-04-03,NP_Client,University,Married,3.0,13,18.0,22.0,C,2012-03-29,Sales,Owned,1,2012-12-13,M
487,5593,1,Non Existing Client,1979-08-21,2011-05-12,NP_Client,University,Married,0.0,20,18.0,2.0,C,2011-08-12,Sales,Owned,1,2012-09-30,B
490,1337,1,Existing Client,1981-04-26,2011-05-22,NP_Client,Master/PhD,Single,0.0,15,20.0,1.0,C,2011-07-28,Sales,Owned,1,2013-05-16,C
496,6559,0,Non Existing Client,1959-07-10,2012-03-01,NP_Client,University,Married,0.0,15,30.0,1.0,C,2012-01-16,Sales,Owned,1,2013-05-30,M
498,6193,1,Existing Client,1980-09-02,2011-12-22,NP_Client,University,Married,2.0,32,62.328,3.0,C,2012-01-16,Sales,Owned,1,2012-06-28,L
500,3872,1,Existing Client,1978-04-12,2011-09-26,NP_Client,Diploma,Married,1.0,32,18.0,8.0,C,2011-05-10,Branch,Owned,1,2012-08-30,L
501,2411,0,Non Existing Client,1974-08-02,2011-01-08,NP_Client,Master/PhD,Married,0.0,1,20.0,1.0,C,2011-11-08,Branch,Owned,2,2012-04-27,C
504,895,0,Non Existing Client,1979-01-29,2011-06-13,NP_Client,University,Married,1.0,6,55.2,6.0,C,2011-06-16,Sales,Owned,2,2013-01-13,B
513,933,0,Non Existing Client,1974-02-07,2011-06-16,NP_Client,University,Married,0.0,12,18.0,2.0,C,2011-06-19,Sales,Owned,1,2013-02-26,B
514,633,1,Existing Client,1987-07-05,2010-12-05,P_Client,University,Single,0.0,1,35.196,10.0,C,2011-09-06,Branch,New rent,1,2013-04-30,H
517,2354,0,Non Existing Client,1970-08-09,2011-07-08,NP_Client,University,Single,0.0,25,20.0,1.0,C,2011-08-08,Branch,Owned,1,2012-06-19,B
518,6523,1,Non Existing Client,1978-06-27,2012-10-01,NP_Client,University,Married,0.0,7,18.0,4.0,G,2012-11-01,Sales,Owned,1,2012-05-31,B
521,586,0,Existing Client,1961-01-22,2009-03-19,NP_Client,University,Married,2.0,10,20.0,1.0,C,2011-06-26,Sales,Owned,1,2012-09-18,B
